project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
HCMI-CMDC	afa149e0-edb7-4f8e-9f56-6e1c0ac78287	HCM-BROD-0106-C71	1d549467-2853-49af-adb7-93c93aacf6fe	HCM-BROD-0106-C71-02A	a5138e50-372e-4fef-bcdf-a5f4008b94d2	HCM-BROD-0106-C71-02A-11	7798e980-4248-4882-a59c-854073c9c99e	HCM-BROD-0106-C71-02A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	afa149e0-edb7-4f8e-9f56-6e1c0ac78287	HCM-BROD-0106-C71	306bdd7f-07b5-48d9-a5a1-a486b4aff132	HCM-BROD-0106-C71-85A	91678d65-b638-5108-8880-41bc47dca93d	'--	cc1edc1e-d6f6-4c3e-ae72-4efa7c8a6638	HCM-BROD-0106-C71-85A-01R	1.83	'--	'--	RNA	R	'--	0.02	mirVana (Allprep DNA) RNA	Yes	1.45	8.7	UV Spec	released	'--
HCMI-CMDC	afa149e0-edb7-4f8e-9f56-6e1c0ac78287	HCM-BROD-0106-C71	306bdd7f-07b5-48d9-a5a1-a486b4aff132	HCM-BROD-0106-C71-85A	37fba2f3-a376-5cde-82e3-8dcf0810148f	'--	ec1faaa3-dac5-4e64-a7c1-fe8b30f88ac3	HCM-BROD-0106-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.04	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	afa149e0-edb7-4f8e-9f56-6e1c0ac78287	HCM-BROD-0106-C71	fbb4c184-bffb-48b8-bd89-15439fd31ea8	HCM-BROD-0106-C71-10A	51a23c57-03b7-4d38-8944-923ad2af38f5	HCM-BROD-0106-C71-10A-01	2653fe6f-240a-4d6c-b8dc-b864a0979690	HCM-BROD-0106-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.05	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	1aad065b-567d-4f08-9cf0-bcc57e8ef496	HCM-BROD-0103-C71	18a08e3b-456f-4754-89fc-9ae2ed9064b1	HCM-BROD-0103-C71-10A	cb8ea928-1ac4-4884-86fe-250ec54d83ce	HCM-BROD-0103-C71-10A-01	469902df-7c3e-476f-96e6-17193cbbe7d3	HCM-BROD-0103-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.02	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	1aad065b-567d-4f08-9cf0-bcc57e8ef496	HCM-BROD-0103-C71	490e0b8f-1547-40ea-bfa5-4eb393ddd121	HCM-BROD-0103-C71-01A	928eeed8-bc56-47a7-971b-0a18cd24173a	HCM-BROD-0103-C71-01A-11	4707c60e-a2a6-45c7-a742-9906ac7cea49	HCM-BROD-0103-C71-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	1aad065b-567d-4f08-9cf0-bcc57e8ef496	HCM-BROD-0103-C71	490e0b8f-1547-40ea-bfa5-4eb393ddd121	HCM-BROD-0103-C71-01A	928eeed8-bc56-47a7-971b-0a18cd24173a	HCM-BROD-0103-C71-01A-11	c34d8854-9a51-4d03-b4dd-4bb5d4ba0b38	HCM-BROD-0103-C71-01A-11R	1.84	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.17	7.1	UV Spec	released	'--
HCMI-CMDC	1aad065b-567d-4f08-9cf0-bcc57e8ef496	HCM-BROD-0103-C71	7dc066eb-72fe-4314-a79d-ab8fc407745f	HCM-BROD-0103-C71-85B	6f143de2-e555-5f64-8848-d3342c9ae135	'--	6f996251-392d-424c-bfbc-229ec6ee92a7	HCM-BROD-0103-C71-85B-01R	1.87	'--	'--	RNA	R	'--	0.08	mirVana (Allprep DNA) RNA	Yes	4.42	8.2	UV Spec	released	'--
HCMI-CMDC	1aad065b-567d-4f08-9cf0-bcc57e8ef496	HCM-BROD-0103-C71	7dc066eb-72fe-4314-a79d-ab8fc407745f	HCM-BROD-0103-C71-85B	6ac05049-4897-5e8d-80dc-436c1d642430	'--	775ecefe-d4ed-4f3c-894b-d5d011bc1301	HCM-BROD-0103-C71-85B-01D	'--	'--	'--	DNA	D	'--	0.1	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	cad9953c-7293-4699-9c47-3e24bc592f9a	HCM-BROD-0104-C71	11d602a2-8580-4a41-8ea6-36edc0d2fe23	HCM-BROD-0104-C71-85B	5c009e51-5a91-5a43-a79f-0069b4502442	'--	4369a63d-4d92-4e2a-8208-a14b09917f28	HCM-BROD-0104-C71-85B-01D	'--	'--	'--	DNA	D	'--	0.12	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	cad9953c-7293-4699-9c47-3e24bc592f9a	HCM-BROD-0104-C71	11d602a2-8580-4a41-8ea6-36edc0d2fe23	HCM-BROD-0104-C71-85B	cae362e7-9e45-549d-9419-c251fa2f9b9c	'--	b203fe6e-8df1-47f4-9b5f-d08afdf988d7	HCM-BROD-0104-C71-85B-01R	1.44	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	2.2	9.6	UV Spec	released	'--
HCMI-CMDC	cad9953c-7293-4699-9c47-3e24bc592f9a	HCM-BROD-0104-C71	d5816ec8-588f-4e23-9061-e4c2864f865f	HCM-BROD-0104-C71-10A	817b4ddf-ab61-49a4-a4c5-e95a49a14628	HCM-BROD-0104-C71-10A-01	6cfaed1b-2c73-4b51-a2b4-8ef4f9a39e74	HCM-BROD-0104-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.17	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	cad9953c-7293-4699-9c47-3e24bc592f9a	HCM-BROD-0104-C71	d8aa45fc-6525-4a57-bd07-9bb05c1e0641	HCM-BROD-0104-C71-01A	8fa4517d-36aa-48d5-a71e-bfbc3b9c319d	HCM-BROD-0104-C71-01A-11	3d7e8d4b-2ab4-4cc2-a7db-8c414b677448	HCM-BROD-0104-C71-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	06a8df92-3a9c-42b4-bf31-48454c977d23	HCM-BROD-0003-C71-10A	18fd7489-b4ee-4ad9-88ad-82b3e5d31758	HCM-BROD-0003-C71-10A-01	caef54e0-3b22-4a7e-8e23-3e4a22167a07	HCM-BROD-0003-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.17	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	2806c4d8-b460-46b9-aed0-989aafcbc968	HCM-BROD-0003-C71-01A	527bf7ef-fba0-475f-99b6-b292f1effb8c	HCM-BROD-0003-C71-01A-01	b51dfa34-0700-4f76-9a28-25a6db4212bc	HCM-BROD-0003-C71-01A-01R	1.87	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.6	9.1	UV Spec	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	2806c4d8-b460-46b9-aed0-989aafcbc968	HCM-BROD-0003-C71-01A	527bf7ef-fba0-475f-99b6-b292f1effb8c	HCM-BROD-0003-C71-01A-01	be93bad3-f4aa-475d-b0de-1d53852db579	HCM-BROD-0003-C71-01A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	9c5c9484-ddec-4365-932d-f88ccfa91d15	HCM-BROD-0003-C71-86A	4504535d-25ad-561a-8971-9683e22acb29	'--	167bbfe5-6536-4657-aa96-8feee85f8e2a	HCM-BROD-0003-C71-86A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	9c5c9484-ddec-4365-932d-f88ccfa91d15	HCM-BROD-0003-C71-86A	a4940d98-0f10-5ba0-97d0-3f6201bf2818	'--	3cde99c6-f565-4fc3-9c53-61d959356c09	HCM-BROD-0003-C71-86A-01R	1.86	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.72	9.8	UV Spec	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	9fd2d3ee-b3b9-4d94-87a4-247801cbe90c	HCM-BROD-0003-C71-85B	4357d8fe-0c6e-5a9c-841d-1ebcbf47e216	'--	8d3f5f11-0f08-4b1a-9fd8-bdd33aa385cb	HCM-BROD-0003-C71-85B-01D	'--	'--	'--	DNA	D	'--	0.05	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	c811d6dd-992f-435a-80ec-b282a2e38aad	HCM-BROD-0003-C71	9fd2d3ee-b3b9-4d94-87a4-247801cbe90c	HCM-BROD-0003-C71-85B	5fc45c74-b2ff-5c20-96d2-00911f643bc6	'--	910cea2b-3951-422e-9800-4cfc0e1e725d	HCM-BROD-0003-C71-85B-01R	1.8	'--	'--	RNA	R	'--	0.1	mirVana (Allprep DNA) RNA	Yes	1.33	8.7	UV Spec	released	'--
HCMI-CMDC	864de84d-7936-4bfd-89ff-b552a9d470aa	HCM-BROD-0420-C71	2921b715-abeb-4837-a1b3-5629f7d2ab43	HCM-BROD-0420-C71-10B	a2d75fe1-47b3-4e0c-8844-e4e7a7766690	HCM-BROD-0420-C71-10B-01	9ecad8c8-054c-4bd8-bd7e-82e2abf6ed69	HCM-BROD-0420-C71-10B-01D	'--	'--	'--	DNA	D	'--	0.12	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	864de84d-7936-4bfd-89ff-b552a9d470aa	HCM-BROD-0420-C71	8b2b0abd-25bb-469c-86dd-4a3733c97117	HCM-BROD-0420-C71-02B	9e929af2-a7f8-4426-a8dc-984d205e00c3	HCM-BROD-0420-C71-02B-11	25115a8f-60f7-40e1-91a4-5d218ba6cf45	HCM-BROD-0420-C71-02B-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	864de84d-7936-4bfd-89ff-b552a9d470aa	HCM-BROD-0420-C71	8b2b0abd-25bb-469c-86dd-4a3733c97117	HCM-BROD-0420-C71-02B	9e929af2-a7f8-4426-a8dc-984d205e00c3	HCM-BROD-0420-C71-02B-11	4bf68377-e6ed-4625-92fe-9934e73b9680	HCM-BROD-0420-C71-02B-11R	1.83	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.39	8.3	UV Spec	released	'--
HCMI-CMDC	864de84d-7936-4bfd-89ff-b552a9d470aa	HCM-BROD-0420-C71	dc45efb6-dd3b-4122-8d66-05f6e7c6f6de	HCM-BROD-0420-C71-85R	e2b19425-a111-5b9d-8c0e-caf454e6fa49	'--	afa38b74-4bfa-49f2-ae09-51cfed25dfdb	HCM-BROD-0420-C71-85R-01D	'--	'--	'--	DNA	D	'--	0.04	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	864de84d-7936-4bfd-89ff-b552a9d470aa	HCM-BROD-0420-C71	dc45efb6-dd3b-4122-8d66-05f6e7c6f6de	HCM-BROD-0420-C71-85R	b74e487d-2547-5356-a2d9-013386db9934	'--	e9ab767d-7687-401d-8d9b-2b34c0e9d7fa	HCM-BROD-0420-C71-85R-01R	2.13	'--	'--	RNA	R	'--	0.03	mirVana (Allprep DNA) RNA	Yes	2.04	7.6	UV Spec	released	'--
HCMI-CMDC	b3cc0754-6a21-4683-a491-b2fb8b6175a4	HCM-BROD-0613-C71	197448f1-a55a-4842-9099-0a876dfd473a	HCM-BROD-0613-C71-10A	f062c807-0eac-41e0-8612-5fcecc134831	HCM-BROD-0613-C71-10A-01	0662290b-8cdf-4dd5-a059-ad27979f232c	HCM-BROD-0613-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.11	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	b3cc0754-6a21-4683-a491-b2fb8b6175a4	HCM-BROD-0613-C71	23d69afc-d536-4ce2-8861-9812b709822b	HCM-BROD-0613-C71-85A	ce9e8fd8-c5a9-546a-9885-8c3fbe09619f	'--	59ca9adc-e9cf-4297-8985-ba7ba7ed45fd	HCM-BROD-0613-C71-85A-01R	1.73	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	2.29	9.7	UV Spec	released	'--
HCMI-CMDC	b3cc0754-6a21-4683-a491-b2fb8b6175a4	HCM-BROD-0613-C71	23d69afc-d536-4ce2-8861-9812b709822b	HCM-BROD-0613-C71-85A	5aac5a84-9adc-5af4-bbab-37700c68719e	'--	8f82fd53-703e-4bc6-a5bc-0d65a43a6ba3	HCM-BROD-0613-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	b3cc0754-6a21-4683-a491-b2fb8b6175a4	HCM-BROD-0613-C71	be4394ef-8a86-4eec-8b76-760773a23253	HCM-BROD-0613-C71-01A	032dd99e-66bf-4b29-b9e9-952289f28d6a	HCM-BROD-0613-C71-01A-11	716c6a7f-1d1c-4901-969a-a6df3c95c967	HCM-BROD-0613-C71-01A-11R	1.84	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.43	8.4	UV Spec	released	'--
HCMI-CMDC	b3cc0754-6a21-4683-a491-b2fb8b6175a4	HCM-BROD-0613-C71	be4394ef-8a86-4eec-8b76-760773a23253	HCM-BROD-0613-C71-01A	032dd99e-66bf-4b29-b9e9-952289f28d6a	HCM-BROD-0613-C71-01A-11	930a8d4d-06e1-4c39-b37f-7e3bfbaaecf9	HCM-BROD-0613-C71-01A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	61e2b8d7-7c0e-4324-9633-d53df618cdb6	HCM-BROD-0012-C71-85A	2b63e30c-db56-5aee-99e2-d1a9eaf8aa07	'--	0eee4e22-2311-4b5e-96af-e61e9ee34134	HCM-BROD-0012-C71-85A-01R	2.27	'--	'--	RNA	R	'--	0.04	mirVana (Allprep DNA) RNA	Yes	1.43	9.4	UV Spec	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	61e2b8d7-7c0e-4324-9633-d53df618cdb6	HCM-BROD-0012-C71-85A	e79ecf30-13f9-5407-9655-d795afdb24ac	'--	ccedf8c1-e91a-4ba7-8ae2-d0f9b218e448	HCM-BROD-0012-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	c2da1c0f-9145-4f45-ade3-f0dc1106f3b3	HCM-BROD-0012-C71-86A	2c4e8b48-f74c-5656-ac2b-eb8f4a71dcf3	'--	aa0b89a8-e841-4e9f-a697-c445eec50d11	HCM-BROD-0012-C71-86A-01R	1.85	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.76	9.9	UV Spec	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	c2da1c0f-9145-4f45-ade3-f0dc1106f3b3	HCM-BROD-0012-C71-86A	5b98698b-d88f-5d67-95bf-073dca5be70c	'--	bf28868e-4bab-4be1-9165-9dd988345cac	HCM-BROD-0012-C71-86A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	ea86287c-5d3c-4a7b-9a78-cc1febf8e0c4	HCM-BROD-0012-C71-10A	cbe9b29f-25f1-4998-9814-bc39e5552d9c	HCM-BROD-0012-C71-10A-01	6993addb-7b5f-4234-9320-4dc5abba804b	HCM-BROD-0012-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.14	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	ef79477d-81d2-480b-a755-6b2fe7cccac1	HCM-BROD-0012-C71-01A	12ab0051-32d1-4fc2-8abe-645b54a9d664	HCM-BROD-0012-C71-01A-01	58e703d9-fd75-4b8b-9bdd-842ae024ebcd	HCM-BROD-0012-C71-01A-01R	1.87	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.86	9.3	UV Spec	released	'--
HCMI-CMDC	0f89e089-4a1d-4e66-8537-502a788cfe75	HCM-BROD-0012-C71	ef79477d-81d2-480b-a755-6b2fe7cccac1	HCM-BROD-0012-C71-01A	12ab0051-32d1-4fc2-8abe-645b54a9d664	HCM-BROD-0012-C71-01A-01	86e649d4-93e9-4f66-9913-d40e3fba5dc3	HCM-BROD-0012-C71-01A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	b44ee47e-c360-41bf-8e0d-a95dc6f9f9cc	HCM-BROD-0195-C71	2863c1dd-eaeb-42a9-9e44-027bd727a006	HCM-BROD-0195-C71-85A	5c256bf1-16fd-5f9b-a2b7-2150740414db	'--	24e0c770-9dc2-4510-9bbd-b6b07c89a835	HCM-BROD-0195-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.13	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	b44ee47e-c360-41bf-8e0d-a95dc6f9f9cc	HCM-BROD-0195-C71	2863c1dd-eaeb-42a9-9e44-027bd727a006	HCM-BROD-0195-C71-85A	ff77b300-6f2e-5e0a-953d-f15a044e29ce	'--	4db83195-85f5-4c46-beff-ed0b6fcf2895	HCM-BROD-0195-C71-85A-01R	1.71	'--	'--	RNA	R	'--	0.07	mirVana (Allprep DNA) RNA	Yes	2.2	9.2	UV Spec	released	'--
HCMI-CMDC	b44ee47e-c360-41bf-8e0d-a95dc6f9f9cc	HCM-BROD-0195-C71	4b5ce218-f100-4d4c-b0e9-66832c3327e9	HCM-BROD-0195-C71-10A	c8174141-12b4-42a3-b84b-953da52ed69f	HCM-BROD-0195-C71-10A-01	97a17d20-a9a3-4a7e-a797-64b326b2cbc4	HCM-BROD-0195-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.31	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	b44ee47e-c360-41bf-8e0d-a95dc6f9f9cc	HCM-BROD-0195-C71	c2f2f23e-5666-4720-9863-324fcaf38521	HCM-BROD-0195-C71-01A	7178f76d-fc42-45c9-b0f9-7bb0db95974e	HCM-BROD-0195-C71-01A-21	3bd2ce26-64cd-4bf3-8c1e-c8d5367d8b34	HCM-BROD-0195-C71-01A-21R	1.93	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.56	9.3	UV Spec	released	'--
HCMI-CMDC	b44ee47e-c360-41bf-8e0d-a95dc6f9f9cc	HCM-BROD-0195-C71	c2f2f23e-5666-4720-9863-324fcaf38521	HCM-BROD-0195-C71-01A	7178f76d-fc42-45c9-b0f9-7bb0db95974e	HCM-BROD-0195-C71-01A-21	b686640b-07e3-402e-9e0b-81f1ba5011fc	HCM-BROD-0195-C71-01A-21D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	f0ee7109-8e30-4789-b071-cd80bec493a3	HCM-BROD-0419-C71	758ba6a9-b7f4-4c1d-91ba-51bab5009fb1	HCM-BROD-0419-C71-85A	7534ab32-cd6e-53db-9341-d2e9ab5f3884	'--	c1506859-ddb8-4a61-9660-14c3b4e8f7b6	HCM-BROD-0419-C71-85A-01R	1.61	'--	'--	RNA	R	'--	0.05	mirVana (Allprep DNA) RNA	Yes	1.77	9.6	UV Spec	released	'--
HCMI-CMDC	f0ee7109-8e30-4789-b071-cd80bec493a3	HCM-BROD-0419-C71	758ba6a9-b7f4-4c1d-91ba-51bab5009fb1	HCM-BROD-0419-C71-85A	d9588648-55aa-58d9-ad62-569cb92f6160	'--	d4e11916-07fd-4706-91c7-8694102f496a	HCM-BROD-0419-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.08	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	f0ee7109-8e30-4789-b071-cd80bec493a3	HCM-BROD-0419-C71	92ff8ed2-c2df-47bc-acaf-4b5f23b858b6	HCM-BROD-0419-C71-10A	d5fc8d5f-f03c-4e16-a75e-4bed59a577da	HCM-BROD-0419-C71-10A-01	5d6dc405-5544-4766-bf03-87cc516db58f	HCM-BROD-0419-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.14	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
